1	
1	21
1	22
1	23
1	24
1	25
2	22
2	23
2	24
2	25
2	26
3	23
3	24
3	25
3	26
3	27
4	24
4	25
4	26
4	27
4	28
5	25
5	26
5	27
5	28
5	29
6	1
6	2
6	3
6	4
6	5
7	2
7	3
7	4
7	5
7	6
8	3
8	4
8	5
8	6
8	7
9	4
9	5
9	6
9	7
9	8
10	5
10	6
10	7
10	8
10	9
11	30
11	31
11	32
11	33
11	34
12	33
12	34
12	35
12	36
12	37
13	34
13	35
13	36
13	37
13	38
14	35
14	36
14	37
14	38
14	39
15	36
15	37
15	38
15	39
15	40
16	10
16	11
16	12
16	13
16	14
17	13
17	14
17	15
17	16
17	17
18	14
18	15
18	16
18	17
18	18
19	15
19	16
19	17
19	18
19	19
20	16
20	17
20	18
20	19
20	20
